t,matched
23530,True
23535,True
23540,True
23545,True
23550,True
23555,True
23560,True
23565,True
23570,True
23575,True
23580,True
23585,True
23590,True
23595,True
23600,True
23605,True
23610,True
23615,True
23620,True
23625,True
23630,True
23635,True
23640,True
23645,True
23650,True
23655,True
23660,True
23665,True
23670,True
23675,True
23680,True
23685,True
23690,True
23695,True
23700,True
23705,True
23710,True
23715,True
23720,True
23725,True
23730,True
23735,True
23740,True
23745,True
23750,True
23755,True
23760,True
23765,True
60764,True
60769,True
60774,True
60779,True
60784,True
60789,True
60794,True
60799,True
60804,True
60809,True
60814,True
60819,True
60824,True
60829,True
60834,True
60839,True
60844,True
60849,True
60854,True
60859,True
60864,True
60869,True
60874,True
60879,True
60884,True
60889,True
60894,True
60899,True
60904,True
60909,True
60914,True
60919,True
60924,True
60929,True
60934,True
60939,True
60944,True
60949,True
60954,True
60959,True
60964,True
60969,True
60974,True
60979,True
60984,True
60989,True
60994,True
60999,True
61004,True
61009,True
61014,True
61019,True
61024,True
61029,True
61034,True
61039,True
61044,True
61049,True
61054,True
61059,True
61064,True
61069,True
61074,True
61079,True
61084,True
61089,True
61094,True
61099,True
61104,True
61109,True
61114,True
61119,True
61124,True
61129,True
61134,True
61139,True
61144,True
61149,True
61154,True
61159,True
61164,True
61169,True
61174,True
61179,True
61184,True
61189,True
61194,True
61199,True
61204,True
61209,True
61214,True
61219,True
61224,True
61229,True
61234,True
61239,True
61244,True
61249,True
61254,True
61259,True
61264,True
61269,True
61274,True
61279,True
61284,True
61289,True
61294,True
61299,True
61304,True
61309,True
61314,True
61319,True
61324,True
61329,True
61334,True
61339,True
61344,True
61349,True
61354,True
61359,True
61364,True
61369,True
61374,True
61379,True
61384,True
61389,True
61575,True
61580,True
61585,True
61590,True
61595,True
61600,True
61605,True
61610,True
61615,True
61620,True
61625,True
61630,True
61635,True
61640,True
61645,True
61650,True
61655,True
61660,True
61665,True
61670,True
61675,True
61680,True
61685,True
61690,True
61695,True
61700,True
61705,True
61710,True
61715,True
61720,True
61725,True
61730,True
61735,True
61740,True
61745,True
61750,True
61755,True
61760,True
61765,True
61770,True
61775,True
61780,True
61785,True
61790,True
61795,True
61800,True
61805,True
61810,True
61815,True
61820,True
61825,True
61830,True
61835,True
61840,True
61845,True
61850,True
61855,True
61860,True
61865,True
61870,True
61875,True
61880,True
61885,True
61890,True
61895,True
61900,True
61905,True
61910,True
61915,True
61920,True
61925,True
61930,True
61935,True
61940,True
61945,True
61950,True
61955,True
61960,True
61965,True
61970,True
61975,True
61980,True
61985,True
61990,True
61995,True
62000,True
62005,True
62010,True
62015,True
62020,True
62025,True
62030,True
62035,True
62040,True
62045,True
62050,True
62055,True
62060,True
62065,True
62070,True
62075,True
62080,True
62085,True
62090,True
62095,True
62100,True
62105,True
62110,True
62115,True
62120,True
62125,True
62130,True
62135,True
62140,True
62145,True
62150,True
62155,True
62160,True
62165,True
62170,True
62175,True
62180,True
62185,True
62190,True
62195,True
49605,True
49610,True
49615,True
49620,True
49625,True
49630,True
49635,True
49640,True
49645,True
49650,True
49655,True
49660,True
49665,True
49670,True
49675,True
49680,True
49685,True
49690,True
49695,True
49700,True
49705,True
49710,True
49715,True
49720,True
49725,True
49730,True
49735,True
49740,True
49745,True
49750,True
49755,True
49760,True
49765,True
49770,True
49775,True
49780,True
49785,True
49790,True
49795,True
49800,True
49805,True
49810,True
49815,True
49820,True
49825,True
49830,True
49835,True
49840,True
49845,True
49850,True
49855,True
49860,True
49865,True
49870,True
49875,True
49880,True
49885,True
49890,True
49895,True
49900,True
49905,True
49910,True
49915,True
49920,True
49925,True
49930,True
49935,True
49940,True
49945,True
49950,True
49955,True
49960,True
49965,True
49970,True
49975,True
49980,True
49985,True
49990,True
49995,True
50000,True
50005,True
50010,True
50015,True
50020,True
50025,True
50030,True
50035,True
50040,True
50045,True
50050,True
50055,True
50060,True
50065,True
50070,True
50075,True
50080,True
50085,True
50090,True
50095,True
50100,True
50105,True
50110,True
50115,True
50120,True
50125,True
50130,True
50135,True
50140,True
50145,True
50150,True
50155,True
50160,True
50165,True
50170,True
50175,True
50180,True
50185,True
50190,True
50195,True
50200,True
50205,True
50210,True
50215,True
50220,True
50225,True
50230,True
59054,True
59059,True
59064,True
59069,True
59074,True
59079,True
59084,True
59089,True
59094,True
59099,True
59104,True
59109,True
59114,True
59119,True
59124,True
59129,True
59134,True
59139,True
59144,True
59149,True
59154,True
59159,True
59164,True
59169,True
59174,True
59179,True
59184,True
59189,True
59194,True
59199,True
59204,True
59209,True
59214,True
59219,True
59224,True
59229,True
59234,True
59239,True
59244,True
59249,True
59254,True
59259,True
59264,True
59269,True
59274,True
59279,True
59284,True
59289,True
59294,True
59299,True
59304,True
59309,True
59314,True
59319,True
59324,True
59329,True
59334,True
59339,True
59344,True
59349,True
59354,True
59359,True
59364,True
59369,True
59374,True
59379,True
59384,True
59389,True
59394,True
59399,True
59404,True
59409,True
59414,True
59419,True
59424,True
59429,True
59434,True
59439,True
59444,True
59449,True
59454,True
59459,True
59464,True
59469,True
59474,True
59479,True
59484,True
59489,True
59494,True
59499,True
59504,True
59509,True
59514,True
59519,True
59524,True
59529,True
59534,True
59539,True
59544,True
59549,True
59554,True
59559,True
59564,True
59569,True
59574,True
59579,True
59584,True
59589,True
59594,True
59599,True
59604,True
59609,True
59614,True
59619,True
59624,True
59629,True
59634,True
59639,True
59644,True
59649,True
59654,True
59659,True
59664,True
59669,True
59674,True
59679,True
53205,True
53210,True
53215,True
53220,True
53225,True
53230,True
53235,True
53240,True
53245,True
53250,True
53255,True
53260,True
53265,True
53270,True
53275,True
53280,True
53285,True
53290,True
53295,True
53300,True
53305,True
53310,True
53315,True
53320,True
53325,True
53330,True
53335,True
53340,True
53345,True
53350,True
53355,True
53360,True
53365,True
53370,True
53375,True
53380,True
53385,True
53390,True
53395,True
53400,True
53405,True
53410,True
53415,True
53420,True
53425,True
53430,True
53435,True
53440,True
53445,True
53450,True
53455,True
53460,True
53465,True
53470,True
53475,True
53480,True
53485,True
53490,True
53495,True
53500,True
53505,True
53510,True
53515,True
53520,True
53525,True
53530,True
53535,True
53540,True
53545,True
53550,True
53555,True
53560,True
53565,True
53570,True
53575,True
53580,True
53585,True
53590,True
53595,True
53600,True
53605,True
53610,True
53615,True
53620,True
53625,True
53630,True
53635,True
53640,True
53645,True
53650,True
53655,True
53660,True
53665,True
53670,True
53675,True
53680,True
53685,True
53690,True
53695,True
53700,True
53705,True
53710,True
53715,True
53720,True
53725,True
53730,True
53735,True
53740,True
53745,True
53750,True
53755,True
53760,True
53765,True
53770,True
53775,True
53780,True
53785,True
53790,True
53795,True
53800,True
53805,True
53810,True
53815,True
53820,True
53825,True
66074,True
66079,True
66084,True
66089,True
66094,True
66099,True
66104,True
66109,True
66114,True
66119,True
66124,True
66129,True
66134,True
66139,True
66144,True
66149,True
66154,True
66159,True
66164,True
66169,True
66174,True
66179,True
66184,True
66189,True
66194,True
66199,True
66204,True
66209,True
66214,True
66219,True
66224,True
66229,True
66234,True
66239,True
66244,True
66249,True
66254,True
66259,True
66264,True
66269,True
66274,True
66279,True
66284,True
66289,True
66294,True
66299,True
66304,True
66309,True
66314,True
66319,True
66324,True
66329,True
66334,True
66339,True
66344,True
66349,True
66354,True
66359,True
66364,True
66369,True
66374,True
66379,True
66384,True
66389,True
66394,True
66399,True
66404,True
66409,True
66414,True
66419,True
66424,True
66429,True
66434,True
66439,True
66444,True
66449,True
66454,True
66459,True
66464,True
66469,True
66474,True
66479,True
66484,True
66489,True
66494,True
66499,True
66504,True
66509,True
66514,True
66519,True
66524,True
66529,True
66534,True
66539,True
66544,True
66549,True
66554,True
66559,True
66564,True
66569,True
66574,True
66579,True
66584,True
66589,True
66594,True
66599,True
66604,True
66609,True
66614,True
66619,True
66624,True
66629,True
66634,True
66639,True
66644,True
66649,True
66654,True
66659,True
66664,True
66669,True
66674,True
66679,True
66684,True
66689,True
66694,True
66699,True
17564,True
17569,True
17574,True
17579,True
17584,True
17589,True
17594,True
17599,True
17604,True
17609,True
17614,True
17619,True
17624,True
17629,True
17634,True
17639,True
17644,True
17649,True
17654,True
17659,True
17664,True
17669,True
17674,True
17679,True
17684,True
17689,True
17694,True
17699,True
17704,True
17709,True
17714,True
17719,True
17724,True
17729,True
17734,True
17739,True
17744,True
17749,True
17754,True
17759,True
17764,True
17769,True
17774,True
17779,True
17784,True
17789,True
17794,True
17799,True
17804,True
17809,True
17814,True
17819,True
17824,True
17829,True
17834,True
17839,True
17844,True
17849,True
17854,True
17859,True
17864,True
17869,True
17874,True
17879,True
17884,True
17889,True
17894,True
17899,True
17904,True
17909,True
17914,True
17919,True
17924,True
17929,True
17934,True
17939,True
17944,True
17949,True
17954,True
17959,True
17964,True
17969,True
17974,True
17979,True
17984,True
17989,True
17994,True
17999,True
18004,True
18009,True
18014,True
18019,True
18024,True
18029,True
18034,True
18039,True
18044,True
18049,True
18054,True
18059,True
18064,True
18069,True
18074,True
18079,True
18084,True
18089,True
18094,True
18099,True
18104,True
18109,True
18114,True
18119,True
18124,True
18129,True
18134,True
18139,True
18144,True
18149,True
18154,True
18159,True
18164,True
18169,True
18174,True
18179,True
18184,True
18189,True
69224,True
69229,True
69234,True
69239,True
69244,True
69249,True
69254,True
69259,True
69264,True
69269,True
69274,True
69279,True
69284,True
69289,True
69294,True
69299,True
69304,True
69309,True
69314,True
69319,True
69324,True
69329,True
69334,True
69339,True
69344,True
69349,True
69354,True
69359,True
69364,True
69369,True
69374,True
69379,True
69384,True
69389,True
69394,True
69399,True
69404,True
69409,True
69414,True
69419,True
69424,True
69429,True
69434,True
69439,True
69444,True
69449,True
69454,True
69459,True
69464,True
69469,True
69474,True
69479,True
69484,True
69489,True
69494,True
69499,True
69504,True
69509,True
69514,True
69519,True
69524,True
69529,True
69534,True
69539,True
69544,True
69549,True
69554,True
69559,True
69564,True
69569,True
69574,True
69579,True
69584,True
69589,True
69594,True
69599,True
69604,True
69609,True
69614,True
69619,True
69624,True
69629,True
69634,True
69639,True
69644,True
69649,True
69654,True
69659,True
69664,True
69669,True
69674,True
69679,True
69684,True
69689,True
69694,True
69699,True
69704,True
69709,True
69714,True
69719,True
69724,True
69729,True
69734,True
69739,True
69744,True
69749,True
69754,True
69759,True
69764,True
69769,True
69774,True
69779,True
69784,True
69789,True
69794,True
69799,True
69804,True
69809,True
69814,True
69819,True
69824,True
69829,True
69834,True
69839,True
69844,True
69849,True
28814,True
28819,True
28824,True
28829,True
28834,True
28839,True
28844,True
28849,True
28854,True
28859,True
28864,True
28869,True
28874,True
28879,True
28884,True
28889,True
28894,True
28899,True
28904,True
28909,True
28914,True
28919,True
28924,True
28929,True
28934,True
28939,True
28944,True
28949,True
28954,True
28959,True
28964,True
28969,True
28974,True
28979,True
28984,True
28989,True
28994,True
28999,True
29004,True
29009,True
29014,True
29019,True
29024,True
29029,True
29034,True
29039,True
29044,True
29049,True
29054,True
29059,True
29064,True
29069,True
29074,True
29079,True
29084,True
29089,True
29094,True
29099,True
29104,True
29109,True
29114,True
29119,True
29124,True
29129,True
29134,True
29139,True
29144,True
29149,True
29154,True
29159,True
29164,True
29169,True
29174,True
29179,True
29184,True
29189,True
29194,True
29199,True
29204,True
29209,True
29214,True
29219,True
29224,True
29229,True
29234,True
29239,True
29244,True
29249,True
29254,True
29259,True
29264,True
29269,True
29274,True
29279,True
29284,True
29289,True
29294,True
29299,True
29304,True
29309,True
29314,True
29319,True
29324,True
29329,True
29334,True
29339,True
29344,True
29349,True
29354,True
29359,True
29364,True
29369,True
29374,True
29379,True
29384,True
29389,True
29394,True
29399,True
29404,True
29409,True
29414,True
29419,True
29424,True
29429,True
29434,True
29439,True
29444,True
29449,True
29454,True
29459,True
29464,True
29469,True
29474,True
29479,True
29484,True
29489,True
29494,True
29499,True
29504,True
29509,True
29514,True
29519,True
29524,True
29529,True
29534,True
29539,True
29544,True
29549,True
29554,True
29559,True
29564,True
29569,True
29574,True
29579,True
29584,True
29589,True
29594,True
29599,True
29604,True
29609,True
29614,True
29619,True
29624,True
29629,True
29634,True
29639,True
29644,True
29649,True
29654,True
29659,True
29664,True
29669,True
29674,True
29679,True
29684,True
29689,True
29694,True
29699,True
29704,True
29709,True
29714,True
29719,True
29724,True
29729,True
29734,True
29739,True
29744,True
29749,True
29754,True
29759,True
29764,True
29769,True
29774,True
29779,True
29784,True
29789,True
29794,True
29799,True
29804,True
29809,True
29814,True
29819,True
29824,True
29829,True
29834,True
29839,True
29844,True
29849,True
29854,True
29859,True
29864,True
29869,True
29874,True
29879,True
29884,True
29889,True
29894,True
29899,True
29904,True
29909,True
29914,True
29919,True
29924,True
29929,True
29934,True
29939,True
29944,True
29949,True
29954,True
29959,True
29964,True
29969,True
29974,True
29979,True
29984,True
29989,True
29994,True
29999,True
30004,True
30009,True
30014,True
30019,True
30024,True
30029,True
30034,True
30039,True
30044,True
30049,True
30054,True
30059,True
30064,True
30069,True
111794,True
111799,True
111804,True
111809,True
111814,True
111819,True
111824,True
111829,True
111834,True
111839,True
111844,True
111849,True
111854,True
111859,True
111864,True
111869,True
111874,True
111879,True
111884,True
111889,True
111894,True
111899,True
111904,True
111909,True
111914,True
111919,True
111924,True
111929,True
111934,True
111939,True
111944,True
111949,True
111954,True
111959,True
111964,True
111969,True
111974,True
111979,True
111984,True
111989,True
111994,True
111999,True
112004,True
112009,True
112014,True
112019,True
112024,True
112029,True
112034,True
112039,True
112044,True
112049,True
112054,True
112059,True
112064,True
112069,True
112074,True
112079,True
112084,True
112089,True
112094,True
112099,True
112104,True
112109,True
112114,True
112119,True
112124,True
112129,True
112134,True
112139,True
112144,True
112149,True
112154,True
112159,True
112164,True
112169,True
112174,True
112179,True
112184,True
112189,True
112194,True
112199,True
112204,True
112209,True
112214,True
112219,True
112224,True
112229,True
112234,True
112239,True
112244,True
112249,True
112254,True
112259,True
112264,True
112269,True
112274,True
112279,True
112284,True
112289,True
112294,True
112299,True
112304,True
112309,True
112314,True
112319,True
112324,True
112329,True
112334,True
112339,True
112344,True
112349,True
112354,True
112359,True
112364,True
112369,True
112374,True
112379,True
112384,True
112389,True
112394,True
112399,True
112404,True
112409,True
112414,True
112419,True
112424,True
112429,True
112434,True
112439,True
112444,True
112449,True
112454,True
112459,True
112464,True
112469,True
112474,True
112479,True
112484,True
112489,True
112494,True
112499,True
112504,True
112509,True
112514,True
112519,True
112524,True
112529,True
112534,True
112539,True
112544,True
112549,True
112554,True
112559,True
112564,True
112569,True
112574,True
112579,True
112584,True
112589,True
112594,True
112599,True
112604,True
112609,True
112614,True
112619,True
112624,True
112629,True
112634,True
112639,True
112644,True
112649,True
112654,True
112659,True
112664,True
112669,True
112674,True
112679,True
112684,True
112689,True
112694,True
112699,True
112704,True
112709,True
112714,True
112719,True
112724,True
112729,True
112734,True
112739,True
112744,True
112749,True
112754,True
112759,True
112764,True
112769,True
112774,True
112779,True
112784,True
112789,True
112794,True
112799,True
112804,True
112809,True
112814,True
112819,True
112824,True
112829,True
112834,True
112839,True
112844,True
112849,True
112854,True
112859,True
112864,True
112869,True
112874,True
112879,True
112884,True
112889,True
112894,True
112899,True
112904,True
112909,True
112914,True
112919,True
112924,True
112929,True
112934,True
112939,True
112944,True
112949,True
112954,True
112959,True
112964,True
112969,True
112974,True
112979,True
112984,True
112989,True
112994,True
112999,True
113004,True
113009,True
113014,True
113019,True
113024,True
113029,True
113034,True
113039,True
113044,True
113049,True
113054,True
113059,True
53565,True
53570,True
53575,True
53580,True
53585,True
53590,True
53595,True
53600,True
53605,True
53610,True
53615,True
53620,True
53625,True
53630,True
53635,True
53640,True
53645,True
53650,True
53655,True
53660,True
53665,True
53670,True
53675,True
53680,True
53685,True
53690,True
53695,True
53700,True
53705,True
53710,True
53715,True
53720,True
53725,True
53730,True
53735,True
53740,True
53745,True
53750,True
53755,True
53760,True
53765,True
53770,True
53775,True
53780,True
53785,True
53790,True
53795,True
53800,True
53805,True
53810,True
53815,True
53820,True
53825,True
53830,True
53835,True
53840,True
53845,True
53850,True
53855,True
53860,True
53865,True
53870,True
53875,True
53880,True
53885,True
53890,True
53895,True
53900,True
53905,True
53910,True
53915,True
53920,True
53925,True
53930,True
53935,True
53940,True
53945,True
53950,True
53955,True
53960,True
53965,True
53970,True
53975,True
53980,True
53985,True
53990,True
53995,True
54000,True
54005,True
54010,True
54015,True
54020,True
54025,True
54030,True
54035,True
54040,True
54045,True
54050,True
54055,True
54060,True
54065,True
54070,True
54075,True
54080,True
54085,True
54090,True
54095,True
54100,True
54105,True
54110,True
54115,True
54120,False
54125,False
54130,False
54135,False
54140,False
54145,False
54150,False
54155,False
54160,False
54165,False
54170,False
54175,False
54180,False
54185,False
54190,False
54195,False
54200,False
54205,False
54210,False
54215,False
54220,False
54225,False
54230,False
54235,False
54240,False
54245,False
54250,False
54255,False
54260,False
54265,False
54270,False
54275,False
54280,False
54285,False
54290,False
54295,False
54300,False
54305,False
54310,False
54315,False
54320,False
54325,False
54330,False
54335,False
54340,False
54345,False
54350,False
54355,False
54360,False
54365,False
54370,False
54375,False
54380,False
54385,False
54390,False
54395,False
54400,False
54405,False
54410,False
54415,False
54420,False
54425,False
54430,False
54435,False
54440,False
54445,False
54450,False
54455,False
54460,False
54465,False
54470,False
54475,False
54480,False
54485,False
54490,False
54495,False
54500,False
54505,False
54510,False
54515,False
54520,False
54525,False
54530,False
54535,False
54540,False
54545,False
54550,True
54555,True
54560,True
54565,True
54570,True
54575,True
54580,True
54585,True
54590,True
54595,True
54600,True
54605,True
54610,True
54615,True
54620,True
54625,True
54630,True
54635,True
54640,True
54645,True
54650,True
54655,True
54660,True
54665,True
54670,True
54675,True
54680,True
54685,True
54690,True
54695,True
54700,True
54705,True
54710,True
54715,True
54720,True
54725,True
54730,True
54735,True
54740,True
54745,True
54750,True
54755,True
54760,True
54765,True
54770,True
54775,True
54780,True
54785,True
54790,True
54795,True
54800,True
54805,True
54810,True
54815,True
40694,True
40699,True
40704,True
40709,True
40714,True
40719,True
40724,True
40729,True
40734,True
40739,True
40744,True
40749,True
40754,True
40759,True
40764,True
40769,True
40774,True
40779,True
40784,True
40789,True
40794,True
40799,True
40804,True
40809,True
40814,True
40819,True
40824,True
40829,True
40834,True
40839,True
40844,True
40849,True
40854,True
40859,True
40864,True
40869,True
40874,True
40879,True
40884,True
40889,True
40894,True
40899,True
40904,True
40909,True
40914,True
40919,True
40924,True
40929,True
40934,True
40939,True
40944,True
40949,True
40954,True
40959,True
40964,True
40969,True
40974,True
40979,True
40984,True
40989,True
40994,True
40999,True
41004,True
41009,True
41014,True
41019,True
41024,True
41029,True
41034,True
41039,True
41044,True
41049,True
41054,True
41059,True
41064,True
41069,True
41074,True
41079,True
41084,True
41089,True
41094,True
41099,True
41104,True
41109,True
41114,True
41119,True
41124,True
41129,True
41134,True
41139,True
41144,True
41149,True
41154,True
41159,True
41164,True
41169,True
41174,True
41179,True
41184,True
41189,True
41194,True
41199,True
41204,True
41209,True
41214,True
41219,True
41224,True
41229,True
41234,True
41239,True
41244,True
41249,True
41254,True
41259,True
41264,True
41269,True
41274,True
41279,True
41284,True
41289,True
41294,True
41299,True
41304,True
41309,True
41314,True
41319,True
41324,True
41329,True
41334,True
41339,True
41344,True
41349,True
41354,True
41359,True
41364,True
41369,True
41374,True
41379,True
41384,True
41389,True
41394,True
41399,True
41404,True
41409,True
41414,True
41419,True
41424,True
41429,True
41434,True
41439,True
41444,True
41449,True
41454,True
41459,True
41464,True
41469,True
41474,True
41479,True
41484,True
41489,True
41494,True
41499,True
41504,True
41509,True
41514,True
41519,True
41524,True
41529,True
41534,True
41539,True
41544,True
41549,True
41554,True
41559,True
41564,True
41569,True
41574,True
41579,True
41584,True
41589,True
41594,True
41599,True
41604,True
41609,True
41614,True
41619,True
41624,True
41629,True
41634,True
41639,True
41644,True
41649,True
41654,True
41659,True
41664,True
41669,True
41674,True
41679,True
41684,True
41689,True
41694,True
41699,True
41704,True
41709,True
41714,True
41719,True
41724,True
41729,True
41734,True
41739,True
41744,True
41749,True
41754,True
41759,True
41764,True
41769,True
41774,True
41779,True
41784,True
41789,True
41794,True
41799,True
41804,True
41809,True
41814,True
41819,True
41824,True
41829,True
41834,True
41839,True
41844,True
41849,True
41854,True
41859,True
41864,True
41869,True
41874,True
41879,True
41884,True
41889,True
41894,True
41899,True
41904,True
41909,True
41914,True
41919,True
41924,True
41929,True
41934,True
41939,True
41944,True
41949,True
13414,True
13419,True
13424,True
13429,True
13434,True
13439,True
13444,True
13449,True
13454,True
13459,True
13464,True
13469,True
13474,True
13479,True
13484,True
13489,True
13494,True
13499,True
13504,True
13509,True
13514,True
13519,True
13524,True
13529,True
13534,True
13539,True
13544,True
13549,True
13554,True
13559,True
13564,True
13569,True
13574,True
13579,True
13584,True
13589,True
13594,True
13599,True
13604,True
13609,True
13614,True
13619,True
13624,True
13629,True
13634,True
13639,True
13644,True
13649,True
13654,True
13659,True
13664,True
13669,True
13674,True
13679,True
13684,True
13689,True
13694,True
13699,True
13704,True
13709,True
13714,True
13719,True
13724,True
13729,True
13734,True
13739,True
13744,True
13749,True
13754,True
13759,True
13764,True
13769,True
13774,True
13779,True
13784,True
13789,True
13794,True
13799,True
13804,True
13809,True
13814,True
13819,True
13824,True
13829,True
13834,True
13839,True
13844,True
13849,True
13854,True
13859,True
13864,True
13869,True
13874,True
13879,True
13884,True
13889,True
13894,True
13899,True
13904,True
13909,True
13914,True
13919,True
13924,True
13929,True
13934,True
13939,True
13944,True
13949,True
13954,True
13959,True
13964,True
13969,True
13974,True
13979,True
13984,True
13989,True
13994,True
13999,True
14004,True
14009,True
14014,True
14019,True
14024,True
14029,True
14034,True
14039,True
14044,True
14049,True
14054,True
14059,True
14064,True
14069,True
14074,True
14079,True
14084,True
14089,True
14094,True
14099,True
14104,True
14109,True
14114,True
14119,True
14124,True
14129,True
14134,True
14139,True
14144,True
14149,True
14154,True
14159,True
14164,True
14169,True
14174,True
14179,True
14184,True
14189,True
14194,True
14199,True
14204,True
14209,True
14214,True
14219,True
14224,True
14229,True
14234,True
14239,True
14244,True
14249,True
14254,True
14259,True
14264,True
14269,True
14274,True
14279,True
14284,True
14289,True
14294,True
14299,True
14304,True
14309,True
14314,True
14319,True
14324,True
14329,True
14334,True
14339,True
14344,True
14349,True
14354,True
14359,True
14364,True
14369,True
14374,True
14379,True
14384,True
14389,True
14394,True
14399,True
14404,True
14409,True
14414,True
14419,True
14424,True
14429,True
14434,True
14439,True
14444,True
14449,True
14454,True
14459,True
